YearLabel,FCE,FAE_total,Male_FCE,Female_FCE,Unknown_FCE,Emergency_FAE,Waiting_FAE,Planned_FAE,Other_FAE,MeanWait_Days,MedianWait_Days,MeanLOS_Days,MedianLOS_Days,MeanAge,YearStart,YearEnd,Male_Share,Female_Share,Unknown_Share
2015/16,19239608.0,16251841.0,8610730.0,10626399.0,2479.0,5764765.0,6255747.0,2208468.0,2022861.0,54.99356620011535,34.0,4.933895913674624,1.0,52.71175344350096,2015,2016,0.4475522578214691,0.5523188933994913,0.00012884877903957296
2016/17,19726907.0,16546667.0,8866101.0,10858645.0,2161.0,5883234.0,6394722.0,2281365.0,1987346.0,55.90148908765179,34.0,4.914368888499003,1.0,53.093174686394676,2016,2017,0.4494420235265468,0.5504484306637629,0.00010954580969028748
2017/18,20030870.0,16622939.0,9030954.0,10997823.0,2093.0,6100310.0,6256161.0,2327786.0,1938682.0,58.52284056832643,34.0,4.7910857301094625,1.0,53.53480819591434,2017,2018,0.4508518102309086,0.5490437010474333,0.00010448872165812069
2018/19,20760699.0,17127498.0,9420367.0,11336039.0,4293.0,6437959.0,6397951.0,2411966.0,1879622.0,60.7569814901724,34.0,4.527509385522676,1.0,53.831515684809055,2018,2019,0.45375962533824127,0.5460335897168009,0.00020678494495777815
2019/20,20912276.0,17202558.0,9498494.0,11403768.0,10014.0,6509586.0,6386203.0,2455895.0,1850874.0,60.1857584903013,33.0,4.46092659312069,1.0,54.3659017978965,2019,2020,0.4542066105095399,0.5453145320002472,0.00047885749021292566
2020/21,16168689.0,12813120.0,7320472.0,8818898.0,29319.0,5450837.0,3835610.0,1793204.0,1733469.0,76.5443613603896,26.0,4.34168579398571,1.0,54.8371442018235,2020,2021,0.45275606451456885,0.5454306159268695,0.0018133195585616124
2021/22,19626344.0,15979490.0,8879634.0,10737619.0,9091.0,6210641.0,5659728.0,2271405.0,1837716.0,82.5433475015732,30.0,4.41799752444333,1.0,54.5611686096572,2021,2022,0.452434442196672,0.5471023538566328,0.00046320394669531934
2022/23,20028271.0,16399596.0,9058809.0,10950704.0,18758.0,6054000.0,6169679.0,2391013.0,1784904.0,83.405333,34.0,4.839725,1.0,54.967571,2022,2023,0.4523010997804054,0.5467623241167447,0.0009365761028498166
2023/24,21450875.0,17560128.0,9609513.0,11687625.0,153737.0,6529851.0,6697616.0,2467410.0,2495904.0,82.2591058005615,33.0,4.82145072035111,1.0,55.2192954442195,2023,2024,0.4479776699085702,0.544855396341641,0.007166933749788762
